threshold,precision,recall,f1_score,true_positive,false_positive,false_negative,true_negative,total_alert
0.05,0.05580923389142567,1.0,0.10571840461316674,110,1861,0,0,1971
0.1,0.05580923389142567,1.0,0.10571840461316674,110,1861,0,0,1971
0.15,0.05580923389142567,1.0,0.10571840461316674,110,1861,0,0,1971
0.2,0.05580923389142567,1.0,0.10571840461316674,110,1861,0,0,1971
0.25,0.056179775280898875,1.0,0.10638297872340426,110,1848,0,13,1958
0.3,0.056818181818181816,1.0,0.10752688172043011,110,1826,0,35,1936
0.35,0.05795574288724974,1.0,0.10956175298804781,110,1788,0,73,1898
0.4,0.07132867132867132,0.9272727272727272,0.13246753246753246,102,1328,8,533,1430
0.45,0.08577405857740586,0.7454545454545455,0.15384615384615385,82,874,28,987,956
0.5,0.08464849354375897,0.5363636363636364,0.14622057001239158,59,638,51,1223,697
0.55,0.08669354838709678,0.39090909090909093,0.1419141914191419,43,453,67,1408,496
0.6,0.12571428571428572,0.2,0.1543859649122807,22,153,88,1708,175
0.65,0.37209302325581395,0.14545454545454545,0.20915032679738563,16,27,94,1834,43
0.7,0.0,0.0,0.0,0,0,110,1861,0
0.75,0.0,0.0,0.0,0,0,110,1861,0
0.8,0.0,0.0,0.0,0,0,110,1861,0
0.85,0.0,0.0,0.0,0,0,110,1861,0
0.9,0.0,0.0,0.0,0,0,110,1861,0
0.95,0.0,0.0,0.0,0,0,110,1861,0
